 Catchment Svartån at Åkesta Kvarn
  730 km2
 Thiessen areal precipitation calculated by SMHI (mm)
 Temperature data (Saal+Folkärna+VästeråsH.)/3.
 Discharge data at station Åkesta Kvarn (mm)
year  mon    prec       evap      disc      temp   temp-mean
1979   1     51.95       .50     19.94     -4.66     -4.66
1979   2     36.48      3.50     16.60     -4.20     -4.20
1979   3     47.58     13.50     23.78      -.55      -.55
1979   4     41.38     43.00     59.40      4.11      4.11
1979   5     40.19     91.50     42.29     10.98     10.98
1979   6     84.29    122.50     13.12     14.11     14.11
1979   7     72.66    115.50     10.60     16.83     16.83
1979   8     93.10     85.50      7.27     15.11     15.11
1979   9     82.77     43.00     12.14     10.45     10.45
1979  10     67.92     13.00     17.17      6.41      6.41
1979  11     61.31       .50     22.69      1.06      1.06
1979  12     53.14     -1.00     20.87     -3.08     -3.08
1980   1     51.95       .50     19.94     -4.66     -4.66
1980   2     36.48      3.50     16.60     -4.20     -4.20
1980   3     47.58     13.50     23.78      -.55      -.55
1980   4     41.38     43.00     59.40      4.11      4.11
1980   5     40.19     91.50     42.29     10.98     10.98
1980   6     84.29    122.50     13.12     14.11     14.11
1980   7     72.66    115.50     10.60     16.83     16.83
1980   8     93.10     85.50      7.27     15.11     15.11
1980   9     82.77     43.00     12.14     10.45     10.45
1980  10     67.92     13.00     17.17      6.41      6.41
1980  11     61.31       .50     22.69      1.06      1.06
1980  12     53.14     -1.00     20.87     -3.08     -3.08
1981   1     27.04       .50     19.64     -4.76     -4.66
1981   2     27.83      3.50      8.43     -3.73     -4.20
1981   3     71.30     13.50     14.94     -2.73      -.55
1981   4     38.62     43.00     65.00      3.94      4.11
1981   5     40.26     91.50     53.83     11.81     10.98
1981   6    125.25    122.50     18.09     13.28     14.11
1981   7     73.46    115.50     34.46     16.47     16.83
1981   8    123.38     85.50     15.96     14.57     15.11
1981   9     20.79     43.00      7.95     10.90     10.45
1981  10    115.23     13.00     13.22      5.46      6.41
1981  11    117.73       .50     42.78      -.17      1.06
1981  12     65.45     -1.00     33.13     -8.39     -3.08
1982   1     38.86       .50     10.98     -9.74     -4.66
1982   2     28.01      3.50      5.07     -4.67     -4.20
1982   3     56.47     13.50     27.79      1.04      -.55
1982   4     63.21     43.00    111.39      4.20      4.11
1982   5     37.49     91.50     50.00     10.06     10.98
1982   6     35.79    122.50      8.42     12.86     14.11
1982   7     31.26    115.50      2.98     17.75     16.83
1982   8    165.47     85.50      3.20     16.37     15.11
1982   9     52.04     43.00      3.33     11.06     10.45
1982  10     46.68     13.00      3.67      6.23      6.41
1982  11     99.83       .50     13.10      3.41      1.06
1982  12     61.00     -1.00     33.93      -.82     -3.08
1983   1     72.28       .50     40.74      -.13     -4.66
1983   2      8.72      3.50     13.89     -5.13     -4.20
1983   3     62.39     13.50     15.55      -.69      -.55
1983   4     65.87     43.00     48.29      4.06      4.11
1983   5     43.54     91.50     37.80     10.81     10.98
1983   6    114.02    122.50     22.51     14.42     14.11
1983   7     44.05    115.50     10.64     17.64     16.83
1983   8     20.06     85.50      3.84     16.60     15.11
1983   9    251.84     43.00     35.69     11.52     10.45
1983  10     43.93     13.00     42.04      6.80      6.41
1983  11     20.92       .50     13.53       .46      1.06
1983  12     68.83     -1.00      7.01     -2.38     -3.08
1984   1     73.51       .50     19.66     -5.38     -4.66
1984   2     35.83      3.50     10.59     -3.16     -4.20
1984   3     21.70     13.50      8.50     -3.27      -.55
1984   4     12.77     43.00     74.58      5.09      4.11
1984   5     29.28     91.50     39.18     11.74     10.98
1984   6    140.63    122.50     13.71     13.84     14.11
1984   7     79.14    115.50     25.35     15.62     16.83
1984   8     54.59     85.50      7.28     15.54     15.11
1984   9    140.90     43.00      9.49      9.96     10.45
1984  10    130.22     13.00     49.10      8.08      6.41
1984  11     52.25       .50     55.13      2.54      1.06
1984  12     59.47     -1.00     40.67       .02     -3.08
1985   1     73.42       .50     15.07    -10.64     -4.66
1985   2     29.58      3.50      7.17    -13.50     -4.20
1985   3     49.53     13.50      6.95     -1.60      -.55
1985   4     68.40     43.00     64.89      1.57      4.11
1985   5     19.02     91.50    101.87     10.10     10.98
1985   6     62.15    122.50     20.29     14.28     14.11
1985   7     70.52    115.50      5.64     16.40     16.83
1985   8     77.37     85.50      7.04     15.09     15.11
1985   9     79.09     43.00     15.32      9.47     10.45
1985  10     61.17     13.00     18.35      7.00      6.41
1985  11     66.11       .50     16.27     -1.08      1.06
1985  12     59.17     -1.00     18.45     -7.42     -3.08
1986   1     48.13       .50     10.51     -6.90     -4.66
1986   2     14.17      3.50      6.30    -10.15     -4.20
1986   3     72.04     13.50     22.40       .47      -.55
1986   4     45.69     43.00     62.75      2.08      4.11
1986   5     34.87     91.50     61.30     12.42     10.98
1986   6     56.18    122.50     13.58     16.40     14.11
1986   7     64.36    115.50      4.23     16.54     16.83
1986   8    130.95     85.50      5.38     12.86     15.11
1986   9     43.99     43.00     18.50      7.89     10.45
1986  10     39.17     13.00      9.69      6.07      6.41
1986  11     54.35       .50     18.42      4.10      1.06
1986  12     79.11     -1.00     31.02     -2.72     -3.08
1987   1     12.63       .50     12.94    -13.67     -4.66
1987   2     33.05      3.50      6.38     -5.30     -4.20
1987   3     31.51     13.50      6.96     -5.05      -.55
1987   4      6.48     43.00     50.98      4.54      4.11
1987   5     84.48     91.50     48.36      8.57     10.98
1987   6     66.73    122.50     17.37     12.07     14.11
1987   7     70.28    115.50      9.20     15.73     16.83
1987   8    148.88     85.50     20.06     12.60     15.11
1987   9     67.86     43.00     26.04      9.65     10.45
1987  10     64.54     13.00     25.44      7.35      6.41
1987  11     66.41       .50     37.67      1.29      1.06
1987  12     29.19     -1.00     24.40     -2.73     -3.08
1988   1     84.04       .50     28.09      -.30     -4.66
1988   2     80.78      3.50     39.95     -1.60     -4.20
1988   3     30.24     13.50     23.32     -2.55      -.55
1988   4     46.95     43.00     86.43      3.05      4.11
1988   5     36.73     91.50     39.50     12.20     10.98
1988   6     76.65    122.50      7.47     16.33     14.11
1988   7    124.97    115.50      6.19     17.58     16.83
1988   8    106.19     85.50      6.75     14.94     15.11
1988   9     30.11     43.00      6.11     11.94     10.45
1988  10     78.26     13.00      5.79      4.65      6.41
1988  11     35.78       .50      9.57     -2.50      1.06
1988  12     47.65     -1.00      6.70     -4.29     -3.08
1989   1     11.13       .50     19.13      2.31     -4.66
1989   2     43.46      3.50     23.92      2.09     -4.20
1989   3     53.14     13.50     42.67      2.84      -.55
1989   4     49.83     43.00     29.05      5.12      4.11
1989   5     56.07     91.50     14.15     12.06     10.98
1989   6     53.40    122.50      8.66     15.13     14.11
1989   7     73.75    115.50      3.64     17.71     16.83
